Topic,Year,Aggressiveness,Count
Ideological Positions on Global Warming,2006,0.5,2
Impact of Resource Overconsumption,2006,1,1
Importance of Human Intervention,2006,1,1
Seriousness of Gas Emissions,2006,1,1
Weather Extremes,2006,0.857142857,7
Donald Trump versus Science,2007,0.490118577,253
Global stance,2007,0.292464879,783
Ideological Positions on Global Warming,2007,0.576470588,85
Impact of Resource Overconsumption,2007,0.398550725,138
Importance of Human Intervention,2007,0.191806331,1074
Politics,2007,0.502645503,189
Seriousness of Gas Emissions,2007,0.394422311,251
Significance of Pollution Awareness Events,2007,0.396825397,63
Undefined / One Word Hashtags,2007,0.310344828,29
Weather Extremes,2007,0.457116788,1096
Donald Trump versus Science,2008,0.454619455,2457
Global stance,2008,0.25938825,6604
Ideological Positions on Global Warming,2008,0.488913525,902
Impact of Resource Overconsumption,2008,0.420077973,1026
Importance of Human Intervention,2008,0.262325775,4807
Politics,2008,0.391036907,2276
Seriousness of Gas Emissions,2008,0.384290986,1897
Significance of Pollution Awareness Events,2008,0.306772908,502
Undefined / One Word Hashtags,2008,0.205128205,234
Weather Extremes,2008,0.410566038,9275
Donald Trump versus Science,2009,0.412092447,33922
Global stance,2009,0.254813398,117121
Ideological Positions on Global Warming,2009,0.407431816,19726
Impact of Resource Overconsumption,2009,0.398107502,10251
Importance of Human Intervention,2009,0.255331759,104609
Politics,2009,0.412717977,43812
Seriousness of Gas Emissions,2009,0.347408211,34127
Significance of Pollution Awareness Events,2009,0.319796339,8249
Undefined / One Word Hashtags,2009,0.296373729,13871
Weather Extremes,2009,0.333639644,103381
Donald Trump versus Science,2010,0.399036002,37137
Global stance,2010,0.287595114,59928
Ideological Positions on Global Warming,2010,0.220378368,42604
Impact of Resource Overconsumption,2010,0.286441234,12184
Importance of Human Intervention,2010,0.325211409,34885
Politics,2010,0.468455896,27945
Seriousness of Gas Emissions,2010,0.32869881,43514
Significance of Pollution Awareness Events,2010,0.322387518,11024
Undefined / One Word Hashtags,2010,0.355028092,15841
Weather Extremes,2010,0.296054046,162825
Donald Trump versus Science,2011,0.414295509,29170
Global stance,2011,0.316179677,11465
Ideological Positions on Global Warming,2011,0.165588464,42509
Impact of Resource Overconsumption,2011,0.363470558,7676
Importance of Human Intervention,2011,0.394893504,7559
Politics,2011,0.556967213,7320
Seriousness of Gas Emissions,2011,0.329599874,38213
Significance of Pollution Awareness Events,2011,0.294860234,7763
Undefined / One Word Hashtags,2011,0.45,12020
Weather Extremes,2011,0.29570147,154169
Donald Trump versus Science,2012,0.417435134,17459
Global stance,2012,0.37349047,6873
Ideological Positions on Global Warming,2012,0.222753296,19039
Impact of Resource Overconsumption,2012,0.391963609,3957
Importance of Human Intervention,2012,0.420103627,4825
Politics,2012,0.58908046,4176
Seriousness of Gas Emissions,2012,0.330064444,21414
Significance of Pollution Awareness Events,2012,0.337314662,4856
Undefined / One Word Hashtags,2012,0.41094306,11240
Weather Extremes,2012,0.30605997,104852
Donald Trump versus Science,2013,0.35838602,28154
Global stance,2013,0.373832675,10387
Ideological Positions on Global Warming,2013,0.222197004,26436
Impact of Resource Overconsumption,2013,0.467005076,7683
Importance of Human Intervention,2013,0.388998552,7599
Politics,2013,0.573566085,6416
Seriousness of Gas Emissions,2013,0.307028571,35000
Significance of Pollution Awareness Events,2013,0.296657986,9216
Undefined / One Word Hashtags,2013,0.477703074,14576
Weather Extremes,2013,0.314920918,137009
Donald Trump versus Science,2014,0.451710389,39377
Global stance,2014,0.318271064,35143
Ideological Positions on Global Warming,2014,0.353840291,23618
Impact of Resource Overconsumption,2014,0.248389316,15987
Importance of Human Intervention,2014,0.330104723,24159
Politics,2014,0.579801927,14843
Seriousness of Gas Emissions,2014,0.351451187,45480
Significance of Pollution Awareness Events,2014,0.279796298,10211
Undefined / One Word Hashtags,2014,0.494188679,26500
Weather Extremes,2014,0.299001346,173133
Donald Trump versus Science,2015,0.39692525,62314
Global stance,2015,0.284779373,396370
Ideological Positions on Global Warming,2015,0.493737267,26506
Impact of Resource Overconsumption,2015,0.393659181,30280
Importance of Human Intervention,2015,0.323152314,239367
Politics,2015,0.441406224,148113
Seriousness of Gas Emissions,2015,0.317112971,61281
Significance of Pollution Awareness Events,2015,0.237718306,23877
Undefined / One Word Hashtags,2015,0.313792289,110076
Weather Extremes,2015,0.296162556,161175
Donald Trump versus Science,2016,0.438293937,73526
Global stance,2016,0.261308231,349082
Ideological Positions on Global Warming,2016,0.470955805,28646
Impact of Resource Overconsumption,2016,0.366688203,37146
Importance of Human Intervention,2016,0.329597806,194707
Politics,2016,0.461276018,136879
Seriousness of Gas Emissions,2016,0.29421538,58984
Significance of Pollution Awareness Events,2016,0.259548992,25055
Undefined / One Word Hashtags,2016,0.28568761,139236
Weather Extremes,2016,0.284345683,135905
Donald Trump versus Science,2017,0.390723496,191473
Global stance,2017,0.253142927,691155
Ideological Positions on Global Warming,2017,0.314473767,79765
Impact of Resource Overconsumption,2017,0.376211974,66008
Importance of Human Intervention,2017,0.281517429,371945
Politics,2017,0.435724693,337688
Seriousness of Gas Emissions,2017,0.263008696,124878
Significance of Pollution Awareness Events,2017,0.196784261,73700
Undefined / One Word Hashtags,2017,0.250868262,302904
Weather Extremes,2017,0.208016578,498018
Donald Trump versus Science,2018,0.399302668,375144
Global stance,2018,0.223779669,1838907
Ideological Positions on Global Warming,2018,0.401743268,234961
Impact of Resource Overconsumption,2018,0.255944617,239208
Importance of Human Intervention,2018,0.290282483,1090083
Politics,2018,0.44552759,772134
Seriousness of Gas Emissions,2018,0.215365829,365239
Significance of Pollution Awareness Events,2018,0.149878443,184276
Undefined / One Word Hashtags,2018,0.218858203,567509
Weather Extremes,2018,0.194682132,591929
Donald Trump versus Science,2019,0.40265261,105858
Global stance,2019,0.192961437,611801
Ideological Positions on Global Warming,2019,0.358176731,57896
Impact of Resource Overconsumption,2019,0.406017223,65379
Importance of Human Intervention,2019,0.249593086,509321
Politics,2019,0.372316369,307792
Seriousness of Gas Emissions,2019,0.208978265,73199
Significance of Pollution Awareness Events,2019,0.052498701,121203
Undefined / One Word Hashtags,2019,0.227212841,91082
Weather Extremes,2019,0.149280297,232040
