Topic,Image,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Activist,activist.png,60.08,85.3,70.46,58.95,55.06,50.21,51.32,54.09,55.48,56.59,61.17,64.36,70.74,84.05,76.42,85.02,100,75.31,82.39,87.3
Carbon emissions,carbon.webp,26.42,39.38,54.32,100,83.14,75.88,56.24,46.32,39.38,36.07,35.75,36.82,38.95,39.81,39.38,63.71,62.65,69.9,90.5,97.33
Carbon footprint,carbonfootprint.png,0.33,7.44,18.01,90.52,100,84.75,65.67,51.74,43.94,39.38,36.49,34.93,35.89,37.09,38.3,57.02,52.58,59.78,72.99,70.72
Climate action,climateaction.png,9.33,14.08,18.31,38.16,40.55,41.12,29.71,19.57,15.35,16.76,17.74,18.73,19.43,22.11,26.19,54.77,46.47,47.88,88.43,100
Climate change,climatechange.webp,4.08,22.77,25,40.18,36.61,45.98,36.16,28.13,25.45,25,30.36,34.82,37.95,41.52,36.61,61.61,48.21,47.32,100,75
Climate crisis,climatecrisis.png,4.92,9.5,75.85,100,42.51,31.88,19.16,15.46,13.37,11.27,11.11,13.69,14.17,14.01,14.98,58.45,50.24,65.86,94.85,80.46
Eco-friendly,ecofriendly.png,20.42,30.93,38.03,71.73,100,78.16,63.08,45.45,39.25,27.49,23.5,20.51,22.62,22.84,24.72,31.49,37.69,42.46,47.89,50.31
Ecosystem,ecosystem.webp,45.17,51.33,42.78,38.5,37.07,37.28,36.77,38.91,42.47,42.06,44.41,48.48,50.62,54.19,56.83,59.58,65.19,65.39,93.5,100
Environment ,env.png,9.17,17.27,16.36,15.15,14.7,12.73,11.67,12.12,11.06,9.39,9.55,9.09,8.94,5.91,7.88,11.97,23.18,55,78.64,100
EPA,epa.png,85.17,100,73.87,71.23,70.16,62.72,56.26,51.47,44.13,40.22,38.45,41.59,39.24,43.05,36.99,37.77,39.73,40.22,41.19,42.59
Genetically modified,gmo.png,62.58,100,54.86,41.68,37.82,34.09,36.48,32.89,35.82,39.28,34.75,27.96,26.9,23.04,21.44,21.17,18.51,17.84,22.37,20.77
Global warming,warming.png,27.5,42.12,53.65,100,68.82,56.35,41.65,31.88,26.71,22,21.53,20.59,21.06,21.41,18.12,21.06,14.59,14.59,19.76,17.84
Green ai,greenai.png,4.67,7.13,8.24,8.02,8.35,12.03,16.82,18.04,18.93,12.7,12.36,12.47,11.92,12.92,12.47,14.81,16.48,36.2,45,100
Green technology,greentech.webp,50.58,50.14,53.41,65.11,84.75,100,98.32,85.78,72.22,61.46,53.6,50.23,46.02,44.25,42.19,42,41.07,46.4,66.32,66.74
Greenhouse gases,gases.png,37.58,66.62,64.29,80.63,66.07,63.87,53.02,50.69,47.94,49.31,51.24,52.88,55.91,59.75,62.64,70.74,73.49,74.86,100,87.36
Greta Thunberg,greta.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,100,39.53,29.73,23.99,28.75
Habitats,habitats.webp,68.08,100,71.6,60.71,53.12,46.39,39.78,33.54,31.95,29.74,28.52,27.66,26.32,25.83,24.97,23.75,25.09,23.01,28.4,28.84
Hurricanes,hurricanes.webp,24.83,100,69.01,45.32,46.49,39.47,35.96,38.89,32.75,34.8,30.41,32.75,36.55,63.45,46.49,55.85,40.35,39.18,45.03,43.7
Ice caps,icecaps.png,56.83,72.97,83.78,100,87.95,82.21,56.08,54.28,73.09,59.01,70.72,66.22,64.3,61.94,48.54,61.6,46.85,41.67,47.3,45.21
Ocean,ocean.webp,47.58,83.31,70.23,64.57,61.07,65.25,59.85,55.54,55,55.13,60.66,61.47,69.29,98.68,80.34,80.88,86.68,87.35,95.71,100
Renewable energy,renewable.png,72.75,83.17,88.71,88.49,96.31,95.98,86.21,79.04,72.53,66.12,66.45,68.4,70.47,74.05,68.84,74.92,76.55,83.39,100,95.71
Sea ice,seaice.png,38.67,68.49,68.79,79.93,83.24,94.38,90.61,79.47,99.49,96.63,97.24,87.75,88.2,96.78,84.89,94.38,86.1,84.14,93.32,100
Sustainability,sustainability.webp,40.25,41.64,41.74,46.56,50.6,51.66,56.1,53.59,51.66,49.26,48.77,47.62,48.97,49.93,51.57,59.76,60.34,66.61,93.69,100
Water supply,water.webp,75,84.35,74.02,71.81,66.29,62.48,62.58,58.57,55.46,61.48,64.79,69.3,72.61,73.31,77.22,81.34,81.94,86.45,99.19,100
Wildfires,wildfires.png,2.58,11.8,15.88,36.63,18.61,17.24,9.53,26.32,23.14,15.43,13.16,19.51,18.15,49.92,52.19,35.85,62.17,37.21,23.14,100
Wildlife,wildlife.png,90.42,100,83.87,73,65.16,60.18,55.21,49.31,47.83,44.79,43.04,43.13,42.4,41.94,42.4,43.69,42.95,40.46,41.66,40.92
